Num,Acronym,Description,Author,Pub Year,Category,Main Formula,Other Formula,CRSP,Compustat(annual),Compustat(quarterly),IBES,description
A.1.2,Abr1,"cumulative abnormal returns around earnings announcement dates, 1-month holding period","Chan, Jegadeesh, and Lakonishok",1996,Momentum,,,,,,,p63
A.1.2,Abr12,"cumulative abnormal returns around earnings announcement dates, 6-month holding period","Chan, Jegadeesh, and Lakonishok",1996,Momentum,,,,,,,
A.1.2,Abr6,"cumulative abnormal returns around earnings announcement dates, 12-month holding period","Chan, Jegadeesh, and Lakonishok",1996,Momentum,,,,,,,
A.2.1,Bm,Book-to-market equity,"Rosenberg, Reid, and Lanstein ",1985,Value-versus-growth,data_rawq['bm'] = data_rawq['beq']/data_rawq['me'],"data_rawq['beq'] = np.where(data_rawq['seqq']>0, data_rawq['seqq']+data_rawq['txditcq']-data_rawq['pstkq'], np.nan)
data_rawq['beq'] = np.where(data_rawq['beq']<=0, np.nan, data_rawq['beq'])
* 'me' from rawq",1,0,1,0,"At the end of June of each year t, we split stocks into deciles based on Bm, which is the book equity for the fiscal year ending in calendar year t - 1 divided by the market equity (from CRSP) at the end of December of t - 1. For firms with more than one share class, we merge the market equity for all share classes before computing Bm. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1. Following Davis, Fama, and French (2000), we measure book equity as stockholders' book equity, plus balance sheet deferred taxes and investment tax credit (Compustat annual item TXDITC) if available, minus the book value of preferred stock. Stockholders' equity is the value reported by Compustat (item SEQ), if it is available. If not, we measure stockholders' equity as the book value of common equity (item CEQ) plus the par value of preferred stock (item PSTK), or the book value of assets (item AT) minus total liabilities (item LT). Depending on availability, we use redemption (item PSTKRV), liquidating (item PSTKL), or par value (item PSTK) for the book value of preferred stock."
A.2.10,"Ep q 1, Ep q 6, and Ep q 12","Q Quarterly Earnings-to-price(1-month holding period), uarterly Earnings-to-price(6-month holding period), Quarterly Earnings-to-price(12-month holding period), ",Basu,1983,Value-versus-growth,,,,,,,"At the beginning of each month t, we split stocks into deciles based on quarterly earnings-to-price, Epq, which is income before extraordinary items (Compustat quarterly item IBQ) divided by the market equity (from CRSP) at the end of month t - 1. Before 1972, we use quarterly earnings from fiscal quarters ending at least four months prior to the portfolio formation. Starting from 1972, we use quarterly earnings from the most recent quarterly earnings announcement dates (item RDQ). For a firm to enter the portfolio formation, we require the end of the fiscal quarter that corresponds to its most recent quarterly earnings to be within six months prior to the portfolio formation. This restriction is imposed to exclude stale earnings information. To avoid potentially erroneous records, we also require the earnings announcement date to be after the corresponding fiscal quarter end. Firms with non-positive earnings are excluded. For firms with more than one share class, we merge the market equity for all share classes before computing Epq. We calculate decile returns for the current month t (Epq1), from month t to t + 5 (Epq6), and from month t to t + 11 (Epq12), and the deciles are rebalanced at the beginning of month t + 1. The holding period longer than one month as in, for instance, Epq6, means that for a given decile in each month there exist six subdeciles, each of which is initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Epq6 decile."
A.2.12,Cp,Cash ﬂow-to-price,"Lakonishok, Shleifer, and Vishny ",1994,Value-versus-growth,data_rawa['cp'] = data_rawa['cf'] / data_rawa['me'],"data_rawa['cf'] = data_rawa['ib'] + data_rawa['dp']
* 'me' from rawa
",1,1,0,0,"At the end of June of each year t, we split stocks into deciles based on cash flow-to-price, Cf, which is cash flows for the fiscal year ending in calendar year t - 1 divided by the market equity (from CRSP) at the end of December of t - 1. Cash flows are income before extraordinary items (Com- pustat annual item IB) plus depreciation (item DP)). For firms with more than one share class, we merge the market equity for all share classes before computing Cp. Firms with non-positive cash flows are excluded. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.2.13,"Cpq1, Cpq6, Cpq12","Quarterly Cash Flow-to-price (1-month holding period), Quarterly Cash Flow-to-price (6-month holding period), Quarterly Cash Flow-to-price (12-month holding period)","Lakonishok, Shleifer, and Vishny",1994,Value-versus-growth,,,,,,,"At the beginning of each month t, we split stocks into deciles based on quarterly cash flow-to-price,
Cpq, which is cash flows for the latest fiscal quarter ending at least four months ago divided by the market equity (from CRSP) at the end of month t - 1. Quarterly cash flows are income before extraordinary items (Compustat quarterly item IBQ) plus depreciation (item DPQ). For firms with more than one share class, we merge the market equity for all share classes before computing Cpq. Firms with non-positive cash flows are excluded. We calculate decile returns for the current month t (Epq1), from month t to t + 5 (Epq6), and from month t to t + 11 (Epq12), and the deciles are rebalanced at the beginning of month t + 1. The holding period longer than one month as in, for instance, Epq6, means that for a given decile in each month there exist six subdeciles, each of which is initiated in a different month in the prior six months. We take the simple average of the subdecile returns as the monthly return of the Epq6 decile."
A.2.14,Dp(dy),Dividend yield,Litzenberger and Ramaswamy,1979,Value-versus-growth,"crsp_mom['dy'] = ttm12(series='mdivpay', df=crsp_mom)/crsp_mom['me']","crsp_mom['permno'] = crsp_mom['permno'].astype(int)
crsp_mom['ret'] = crsp_mom['ret'].fillna(0)
crsp_mom['me'] = crsp_mom['prc'].abs() * crsp_mom['shrout']  # calculate market equity
crsp_mom['retx'] = np.where(crsp_mom['me'].isnull(), 0, crsp_mom['retx'])
# dy
crsp_mom['me_l1'] = crsp_mom.groupby(['permno'])['me'].shift(1)
crsp_mom['retdy'] = crsp_mom['ret'] - crsp_mom['retx']
crsp_mom['mdivpay'] = crsp_mom['retdy']*crsp_mom['me_l1']
",1,0,0,0,"At the end of June of each year t, we sort stocks into deciles based on dividend yield, Dp, which is the total dividends paid out from July of year t - 1 to June of t divided by the market equity (from CRSP) at the end of June of t. We calculate monthly dividends as the begin-of-month market equity times the difference between returns with and without dividends. Monthly dividends are then accumulated from July of t - 1 to June of t. We exclude firms that do not pay dividends. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
A.2.16,Op and Nop, (Net) Payout Yield,"Richardson, and Roberts",2007,Value-versus-growth,"data_rawq['op'] = (ttm4('revtq', data_rawq)-ttm4('cogsq', data_rawq)-ttm4('xsgaq0', data_rawq)-ttm4('xintq0', data_rawq))/data_rawq['beq_l4']
data_rawa['nop'] = np.where(data_rawa['nop']<=0, np.nan, data_rawa['nop'] )","# op
data_rawq['xintq0'] = np.where(data_rawq['xintq'].isnull(), 0, data_rawq['xintq'])
data_rawq['xsgaq0'] = np.where(data_rawq['xsgaq'].isnull(), 0, data_rawq['xsgaq'])
data_rawq['beq'] = np.where(data_rawq['seqq']>0, data_rawq['seqq']+data_rawq['txditcq']-data_rawq['pstkq'], np.nan)
data_rawq['beq'] = np.where(data_rawq['beq']<=0, np.nan, data_rawq['beq'])
data_rawq['beq_l4'] = data_rawq.groupby(['permno'])['beq'].shift(4)

#nop
data_rawa['net_p'] = data_rawa['dvc'] + data_rawa['prstkc'] + 2*data_rawa['pstkrv'] - data_rawa['sstk']
* 'me' from rawa
data_rawa['nop'] = data_rawa['net_p'] / data_rawa['me']
",1,1,1,0,"Per Boudoukh, Michaely, Richardson, and Roberts (2007), total payouts are dividends on common stock (Compustat annual item DVC) plus repurchases. Repurchases are the total expenditure on the purchase of common and preferred stocks (item PRSTKC) plus any reduction (negative change over the prior year) in the value of the net number of preferred stocks outstanding (item PSTKRV). Net payouts equal total payouts minus equity issuances, which are the sale of common and preferred stock (item SSTK) minus any increase (positive change over the prior year) in the value of the net number of preferred stocks outstanding (item PSTKRV). At the end of June of each year t, we sort stocks into deciles based on total payouts (net payouts) for the fiscal year ending in calendar year t - 1 divided by the market equity (from CRSP) at the end of December of t - 1 (Op and Nop, respectively). For firms with more than one share class, we merge the market equity for all share classes before computing Op and Nop. Firms with non-positive total payouts (zero net payouts) are excluded. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1. Because the data on total expenditure and the sale of common and preferred stocks start in 1971, the Op and Nop portfolios start in July 1972."
A.2.2,Bmj,Book-to-June-end market equity, Asness and Frazzini ,2013,Value-versus-growth,data_rawa['bmj'] = data_rawa['be_per'] / data_rawa['prc'] ,"# clean up csho
comp['csho'] = np.where(comp['csho'] == 0, np.nan, comp['csho'])
data_rawa['txditc'] = data_rawa['txditc'].fillna(0)
* 'ps'
data_rawa['be'] = data_rawa['seq'] + data_rawa['txditc'] - data_rawa['ps']
data_rawa['be'] = np.where(data_rawa['be'] > 0, data_rawa['be'], np.nan)
data_rawa['be_per'] = data_rawa['be'] / data_rawa['csho']
",0,1,0,0,"Following Asness and Frazzini (2013), at the end of June of each year t, we sort stocks into deciles based on Bmj, which is book equity per share for the fiscal year ending in calendar year t - 1 divided by share price (from CRSP) at the end of June of t. We adjust for any stock splits between the fiscal year end and the end of June. Book equity per share is book equity divided by the num- ber of shares outstanding (Compustat annual item CSHO). Following Davis, Fama, and French (2000), we measure book equity as stockholders' book equity, plus balance sheet deferred taxes and investment tax credit (item TXDITC) if available, minus the book value of preferred stock. Stockholders' equity is the value reported by Compustat (item SEQ), if it is available. If not, we measure stockholders' equity as the book value of common equity (item CEQ) plus the par value of preferred stock (item PSTK), or the book value of assets (item AT) minus total liabilities (item LT). Depending on availability, we use redemption (item PSTKRV), liquidating (item PSTKL), or par value (item PSTK) for the book value of preferred stock. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1."
