Num,Acronym,Description,Author,Pub Year,Category
A.2.1,Bm,Book-to-market equity,"Rosenberg, Reid, and Lanstein ",1985,Value-versus-growth
A.2.2,Bmj,Book-to-June-end market equity, Asness and Frazzini ,2013,Value-versus-growth
A.2.3,Bmq12,Quarterly Book-to-market Equity (12-month holding period),"Rosenberg, Reid, and Lanstein ",1985,Value-versus-growth
A.2.9,Ep,Earnings-to-price,Basu,1983,Value-versus-growth
A.2.10,"Ep q 1, Ep q 6, and Ep q 12","Q Quarterly Earnings-to-price(1-month holding period), uarterly Earnings-to-price(6-month holding period), Quarterly Earnings-to-price(12-month holding period), ",Basu,1983,Value-versus-growth
A.2.12,Cp,Cash ﬂow-to-price,"Lakonishok, Shleifer, and Vishny ",1994,Value-versus-growth
A.2.13,"Cpq1, Cpq6, Cpq12","Quarterly Cash Flow-to-price (1-month holding period), Quarterly Cash Flow-to-price (6-month holding period), Quarterly Cash Flow-to-price (12-month holding period)","Lakonishok, Shleifer, and Vishny",1994,Value-versus-growth
A.2.14,Dp(dy),Dividend yield,Litzenberger and Ramaswamy,1979,Value-versus-growth
A.2.16,Op and Nop, (Net) Payout Yield,"Richardson, and Roberts",2007,Value-versus-growth
A.2.20,Em,Enterprise multiple,Loughran and Wellman,2011,Value-versus-growth
A.2.21,"Emq1, Emq6","Quarterly Enterprise multiple (1-month holding period), Quarterly Enterprise multiple (6-month holding period)",Loughran and Wellman,2011,Value-versus-growth
A.2.22,Sp,Sales-to-price,"Barbee, Mukherji, and Raines",1996,Value-versus-growth
A.2.23,"Sp q 1, Sp q 6, and Sp q 12",Quarterly Sales-to-price,"Barbee, Mukherji, and Raines",1996,Value-versus-growth
A.2.24,Ocp,Operating Cash Flow-to-price,"Desai, Rajgopal, and Venkatachalam",2004,Value-versus-growth
A.2.26,Ir,Intangible Return,Daniel and Titman,2006,Value-versus-growth
A.2.28,Ebp,Enterprise Book-to-price,"Penman, Richardson, and Tuna",2007,Value-versus-growth
A.3.1,Aci,Abnormal Corporate Investment,"Titman, Wei, and Xie",2004,Investment
A.3.2,I/A, Investment-to-assets,"Cooper, Gulen, and Schill",2008,Investment
A.3.3,"Ia q 6, and Ia q 12",Quarterly Investment-to-assets,"Cooper, Gulen, and Schill",2008,Investment
A.3.4,dPia,Changes in PPE and Inventory-to-assets,"Lyandres, Sun, and Zhang",2008,Investment
A.3.5,Noa and dNoa,(Changes in) Net Operating Assets,"Hirshleifer, Hou, Teoh, and Zhang",2004,Investment
A.3.6,dLno,Changes in Long-term Net Operating Assets,"Fairﬁeld, Whisenant, and Yohn",2003,Investment
A.3.7,Ig,Investment Growth,Xing,2008,Investment
A.3.8,2Ig,2-year Investment Growth,Anderson and Garcia-Feijoo,2006,Investment
A.3.10,Nsi,Net Stock Issues,Pontiﬀ and Woodgate,2008,Investment
