Chars,Name,Description
abr,Cumulative Abnormal Returns Around Earnings Announcement Dates,"We calculate cumulative abnormal stock return (Abr) around the latest quarterly earnings announcement date (Compustat quarterly item RDQ) (Chan, Jegadeesh, and Lakonishok 1996)): Abr_i = \sum_{d=-2}^{+1}r_{id}-r{md}, in which r id is stock i’s return on day d (with the earnings announced on day 0) and r md is the market index return. We cumulate returns until one (trading) day after the announcement date to account for the one-day-delayed reaction to earnings news. r md is the value-weighted market return for the Abr deciles with NYSE breakpoints and value-weighted returns, but is the equal-weighted market return with all-but-micro breakpoints and equal-weighted returns."
acc,Working capital accruals,Annual income before extraordinary items (ib) minus operating cash ﬂows (oancf ) divided by average total assets (at); if oancf is missing then set to change in act change in che - change in lct + change in dlc + change in txp-dp
adm,Advertising Expense-to-market,"At the end of June of each year t, we sort stocks into deciles based on advertising expenses-tomarket, Adm, which is advertising expenses (Compustat annual item XAD) for the ﬁscal year ending in calendar year t − 1 divided by the market equity (from CRSP) at the end of December of t − 1. For ﬁrms with more than one share class, we merge the market equity for all share classes before computing Adm. We keep only ﬁrms with positive advertising expenses. Monthly decile returns are calculated from July of year t to June of t + 1, and the deciles are rebalanced in June of t + 1. Because suﬃcient XAD data start in 1972, the Adm portfolios start in July 1973."
agr,Asset growth,Annual percent change in total assets (at)
alm,Asset liquidity (scaled by market assets),"Following Ortiz-Molina and Phillips (2014), we measure asset liquidity as cash + 0.75 × noncash current assets + 0.50 × tangible ﬁxed assets. Cash is cash and short-term investments (Compustat annual item CHE). Noncash current assets is current assets (item ACT) minus cash. Tangible ﬁxed assets is total assets (item AT) minus current assets (item ACT), minus goodwill (item GDWL, zero if missing), and minus intangibles (item INTAN, zero if missing).  Alm is asset liquidity scaled by one-year-lagged market value of assets. Market value of assets is total assets plus market equity (item PRCC F times item CSHO) minus book equity (item CEQ)."
ato,Asset turnover,"Noa is operating assets minus operating liabilities. Operating assets are total assets (item ATQ) minus cash and short-term investments (item CHEQ), and minus other investment and advances (item IVAOQ, zero if missing). Operating liabilities are total assets minus debt in current liabilities (item DLCQ, zero if missing), minus long-term debt (item DLTTQ, zero if missing), minus minority interests (item MIBQ, zero if missing), minus preferred stocks (item PSTKQ, zero if missing), and minus common equity (item CEQQ). Quarterly proﬁt margin, Pm q , is quarterly operating income after depreciation divided by quarterly sales (item SALEQ). Quarterly asset turnover, Ato q , is quarterly sales divided by one-quarter-lagged Noa."
baspread,Bid-ask spread rolling 3m,Monthly average of daily bid-ask spread divided by average of daily spread
beta,Beta rolling 3m,Estimated market beta from daily returns
bm,Book-to-market,Book value of equity (ceq) divided by end of ﬁscal year-end market capitalization
bm_ia,Industry-adjusted book to market,Industry adjusted book-to-market ratio
