Acronym,Description,Author,Pub Year,Category
abr,cumulative abnormal returns around earnings announcement dates,"Chan, Jegadeesh, and Lakonishok",1996,Momentum
absacc,Absolute accruals,"Bandyopadhyay, Huang, and Wirjanto",2010,Investment
acc,Operating Accruals,Sloan,1996,Investment
adm,Advertising Expense-to-market,"Chan, Lakonishok, and Sougiannis",2001,Intangibles
age,# years since first Compustat coverage,"Jiang, Lee, and Zhang",2005,Intangibles
agr,Asset growth,"Cooper, Gulen, and Schill",2008,Investment 
alm,Quarterly Asset Liquidity,Ortiz-Molina and Phillips,2014,Intangibles
ato,Asset Turnover,Soliman,2008,Profitability
baspread,Bid-ask spread rolling 3m,Amihud and Mendelson,1989,Trading frictions 
beta,Beta rolling 3m,Fama and MacBeth,1973,Trading frictions 
bm ,Book-to-market equity,"Rosenberg, Reid, and Lanstein ",1985,Value-versus-growth
bm_ia,Industry-adjusted book to market,"Asness, Porter, and Stevens",2000,Value-versus-growth
cash,Cash holdings,"Lakonishok, Shleifer, and Vishny ",1994,Value-versus-growth
cashdebt,Cash flow to debt,Ou and Penman,1989,Value-versus-growth
cashpr,Cash productivity,Chandrashekar and Rao,2009,Value-versus-growth
cfp,Cash flow to price ratio,"Lakonishok, Shleifer, and Vishny ",1994,Value-versus-growth
cfp_ia,Industry-adjusted cash flow to price ratio,"Asness, Porter, and Stevens",2000,Value-versus-growth
chatoia,Industry-adjusted change in asset turnover,Soliman,2008,Profitability
chcsho,Change in shares outstanding,Pontiff and Woodgate,2008,Investment 
chempia,Industry-adjusted change in employees,"Asness, Porter, and Stevens",2000,Intangibles
chinv,Change in inventory,Thomas and Zhang,2002,Investment
chmom,Change in 6-month momentum,Gettleman and Marks,2006,Momentum
chpmia,Industry-adjusted change in profit margin,Soliman,2008,Profitability 
chtx,Change in tax expense,Thomas and Zhang,2011,Momentum 
cinvest,Corporate investment,"Titman, Wei, and Xie",2004,Investment 
convind,Convertible debt indicator,Valta,2016,Intangibles
currat,Current ratio,Ou and Penman,1989,Profitability
depr,Depreciation / PP and E,Holthausen and Larcker,1992,Momentum 
divi,Dividend initiation,"Michaely, Thaler, and Womack",1995,Value-versus-growth
