,permno,date,ret,jyear,formdate,dgtw_port,dgtw_vwret,dgtw_xret
610479,10001,1987-07-31,0.0212765950709581,1987,1987-06-30,113,0.019801241267535952,0.001475353803422147
615053,10001,1987-08-31,0.0833333358168602,1987,1987-06-30,113,0.023180797198256217,0.06015253861860398
619599,10001,1987-09-30,-0.0223076920956373,1987,1987-06-30,113,-0.005077396753688309,-0.01723029534194899
624107,10001,1987-10-31,0.0199999995529652,1987,1987-06-30,113,-0.29472823742888715,0.31472823698185237
628578,10001,1987-11-30,-0.0294117648154497,1987,1987-06-30,113,-0.05224996628782722,0.02283820147237752
633015,10001,1987-12-31,-0.0335353538393974,1987,1987-06-30,113,0.031556156075742484,-0.06509150991513989
637416,10001,1988-01-31,0.0638297870755196,1987,1987-06-30,113,0.08045702202360468,-0.016627234948085073
641782,10001,1988-02-29,0.0799999982118607,1987,1987-06-30,113,0.07988543227657602,0.00011456593528468006
646115,10001,1988-03-31,-0.0762962996959686,1987,1987-06-30,113,0.05258492962512643,-0.12888122932109503
650412,10001,1988-04-30,0.0306122452020645,1987,1987-06-30,113,0.015120224328989034,0.015492020873075467
654668,10001,1988-05-31,0.0198019798845053,1987,1987-06-30,113,-0.0189508178267299,0.0387527977112352
658884,10001,1988-06-30,-0.012038835324347,1987,1987-06-30,113,0.06166346543227263,-0.07370230075661963
664459,10001,1988-07-31,0.0299999993294477,1988,1988-06-30,115,-0.003689917037424324,0.033689916366872026
669210,10001,1988-08-31,0.029126213863492,1988,1988-06-30,115,-0.026499730557193627,0.05562594442068563
673913,10001,1988-09-30,-0.0211320761591196,1988,1988-06-30,115,0.029679180096569936,-0.05081125625568954
678580,10001,1988-10-31,0.0392156876623631,1988,1988-06-30,115,-0.013774586793154166,0.05299027445551727
683207,10001,1988-11-30,0.0,1988,1988-06-30,115,-0.03777131249388577,0.03777131249388577
687782,10001,1988-12-31,-0.0211320761591196,1988,1988-06-30,115,0.0301109951348147,-0.051243071293934295
692317,10001,1989-01-31,0.0196078438311815,1988,1988-06-30,115,0.04374365088846775,-0.024135807057286254
696811,10001,1989-02-28,0.0384615398943424,1988,1988-06-30,115,0.00687236561150231,0.03158917428284009
701273,10001,1989-03-31,0.0177777782082558,1988,1988-06-30,115,0.023024375502749245,-0.005246597294493446
705709,10001,1989-04-30,0.0740740746259689,1988,1988-06-30,115,0.0329751215376825,0.04109895308828641
710117,10001,1989-05-31,-0.0344827584922314,1988,1988-06-30,115,0.022799962548783855,-0.057282721041015255
714486,10001,1989-06-30,0.0171428564935923,1988,1988-06-30,115,-0.014043565868513583,0.031186422362105885
718439,10001,1989-07-31,0.0357142873108387,1989,1989-06-30,114,0.03870024061006776,-0.0029859532992290577
723089,10001,1989-08-31,0.275862067937851,1989,1989-06-30,114,0.02326716951263141,0.2525948984252196
727706,10001,1989-09-30,-0.0270270276814699,1989,1989-06-30,114,-0.001534892500909289,-0.02549213518056061
732296,10001,1989-10-31,0.070422537624836,1989,1989-06-30,114,-0.048159836746545816,0.1185823743713818
736853,10001,1989-11-30,0.039473682641983,1989,1989-06-30,114,-0.0007428611876360641,0.04021654382961906
741379,10001,1989-12-31,0.0379746817052364,1989,1989-06-30,114,-0.018895263959858553,0.056869945665094956
745873,10001,1990-01-31,-0.0185185186564922,1989,1989-06-30,114,-0.05732332102259678,0.038804802366104583
750331,10001,1990-02-28,-0.00628930795937777,1989,1989-06-30,114,0.010355997285956658,-0.01664530524533443
754763,10001,1990-03-31,0.0126582281664014,1989,1989-06-30,114,0.04272793790136953,-0.030069709734968128
759163,10001,1990-04-30,0.0,1989,1989-06-30,114,-0.030681665024580165,0.030681665024580165
763527,10001,1990-05-31,-0.0126582281664014,1989,1989-06-30,114,0.05738694370055183,-0.07004517186695322
767858,10001,1990-06-30,0.0141025641933083,1989,1989-06-30,114,-0.00017281178578309127,0.014275375979091391
772803,10001,1990-07-31,0.0256410259753466,1990,1990-06-30,115,-0.025732195143028925,0.05137322111837553
777329,10001,1990-08-31,-0.0500000007450581,1990,1990-06-30,115,-0.13112589501419836,0.08112589426914026
781822,10001,1990-09-30,0.0407894738018513,1990,1990-06-30,115,-0.08812164656408329,0.1289111203659346
786290,10001,1990-10-31,-0.0128205129876733,1990,1990-06-30,115,-0.05036192560847262,0.037541412620799325
790732,10001,1990-11-30,0.0,1990,1990-06-30,115,0.04607877284295608,-0.04607877284295608
795156,10001,1990-12-31,0.00129870162345469,1990,1990-06-30,115,0.026784561808805955,-0.025485860185351265
799554,10001,1991-01-31,0.0131578948348761,1990,1990-06-30,115,0.08362450974705331,-0.0704666149121772
803934,10001,1991-02-28,0.0129870129749179,1990,1990-06-30,115,0.12104392883390606,-0.10805691585898816
808291,10001,1991-03-31,-0.0115384608507156,1990,1990-06-30,115,0.07737373865840286,-0.08891219950911845
812621,10001,1991-04-30,0.039473682641983,1990,1990-06-30,115,0.010464329056773743,0.029009353585209254
816925,10001,1991-05-31,0.0,1990,1990-06-30,115,0.032682191278957905,-0.032682191278957905
821208,10001,1991-06-30,0.0784810110926628,1990,1990-06-30,115,-0.062368494649216843,0.14084950574187965
825073,10001,1991-07-31,-0.0357142873108387,1991,1991-06-30,114,0.02144109894222543,-0.05715538625306413
829598,10001,1991-08-31,0.135802462697029,1991,1991-06-30,114,0.017861209988834528,0.11794125270819447
834109,10001,1991-09-30,0.0130434790626168,1991,1991-06-30,114,0.012082590226141212,0.0009608888364755885
838596,10001,1991-10-31,0.130434781312943,1991,1991-06-30,114,0.017650214614403793,0.11278456669853922
843056,10001,1991-11-30,0.134615391492844,1991,1991-06-30,114,-0.021873142821698565,0.15648853431454254
847489,10001,1991-12-31,-0.00677966047078371,1991,1991-06-30,114,0.044880040045148575,-0.051659700515932286
