DATE,vwret_pct10,n_firms_pct10,vwret_pct20,n_firms_pct20,vwret_pct30,n_firms_pct30,vwret_pct40,n_firms_pct40,vwret_pct50,n_firms_pct50,vwret_pct60,n_firms_pct60,vwret_pct70,n_firms_pct70,vwret_pct80,n_firms_pct80,vwret_pct90,n_firms_pct90
19940729,0.0312284632,1890,0.0311828513,1839,0.0322752448,1708,0.0314886949,1560,0.032227286,1428,0.0324864938,1110,0.0333996085,821,0.0398393907,630,0.0397188763,485
19940831,0.045579497,1889,0.0450491247,1838,0.0440760099,1706,0.0435049964,1559,0.0462773984,1427,0.042919435,1109,0.0439604351,820,0.0421315501,629,0.0507178686,484
19940930,-0.0223833,1882,-0.022383374,1832,-0.023131285,1701,-0.024288968,1557,-0.025368587,1425,-0.026329262,1108,-0.024572105,819,-0.029679562,628,-0.030117605,484
19941031,0.0194004259,1881,0.0194287335,1831,0.0187757055,1700,0.0173960775,1557,0.0166431753,1425,0.0130354651,1108,0.012259926,819,0.0120072848,628,0.0080605794,484
19941130,-0.036419185,1876,-0.036647031,1826,-0.037734846,1697,-0.038891294,1554,-0.040641209,1422,-0.04036093,1106,-0.045027332,818,-0.053424761,627,-0.045670093,484
19941230,0.0139405674,1871,0.0143629793,1822,0.0143680646,1693,0.0143474507,1551,0.0163603502,1419,0.0184986588,1103,0.028319782,815,0.0300937089,625,0.0328773732,483
19950131,0.0216609603,1866,0.020977663,1817,0.0197601094,1688,0.0171286994,1546,0.0161436842,1414,0.0157362223,1098,0.0059832282,811,0.0001404412,621,0.0078425869,480
19950228,0.042661944,1860,0.0430399265,1811,0.0438106053,1684,0.0462191699,1542,0.0473714746,1411,0.0459018976,1096,0.0437407482,811,0.0405759873,621,0.0492469236,480
19950331,0.0275184838,1855,0.0280031543,1806,0.0282511974,1679,0.0276541794,1539,0.0265257227,1408,0.0252954755,1093,0.0269194957,809,0.0306864521,619,0.02958391,478
19950428,0.0270713297,1855,0.027027384,1806,0.0265097947,1678,0.0235961644,1538,0.0241374357,1407,0.0253287338,1092,0.0231614504,808,0.0204476377,619,0.0247770747,478
19950531,0.0365646895,1850,0.0366920021,1801,0.0372882083,1674,0.0391045647,1535,0.0397698932,1405,0.0410977248,1092,0.0383231244,808,0.0371861817,620,0.0307148455,478
19950630,0.0302409268,1842,0.0306592996,1793,0.0316086073,1667,0.0341843723,1528,0.0365375682,1400,0.038279231,1087,0.0352247109,804,0.0383170854,616,0.0481890916,475
19950731,0.0404875753,1934,0.0419328918,1853,0.043301484,1706,0.0435421921,1545,0.044588324,1385,0.0473924444,1052,0.047939985,798,0.0516019229,592,0.0735110917,419
19950831,0.0073564205,1932,0.0066692199,1851,0.0065402322,1704,0.005780537,1543,0.0044947361,1383,0.0046417186,1051,0.0081720461,798,0.0175112175,592,0.0131359334,419
19950929,0.0395739578,1929,0.0394374738,1849,0.0394080845,1702,0.0402168684,1542,0.0409040222,1382,0.0460511816,1051,0.0485023011,798,0.0519242798,592,0.0314052926,419
19951031,-0.007118713,1922,-0.007873406,1842,-0.006660948,1695,-0.006426188,1536,-0.008019343,1377,-0.007414119,1048,-0.005914736,795,0.0059839375,590,-0.024336345,417
19951130,0.0447776172,1917,0.0450998334,1838,0.0446709265,1691,0.0447525649,1534,0.0439755318,1376,0.0373250197,1047,0.0288154851,794,0.0205530271,589,0.0382429998,417
19951229,0.0151583245,1910,0.0147453331,1831,0.0139481405,1687,0.0128424675,1531,0.0091152747,1374,0.0058153581,1046,0.0054357431,794,0.0060108677,589,0.0123076413,417
19960131,0.0283419974,1903,0.0283356913,1825,0.0289778996,1682,0.0308712309,1526,0.0312759437,1370,0.0309835508,1042,0.0259870862,793,0.0331357938,589,0.0176378519,417
19960229,0.015590179,1901,0.01637123,1823,0.0169664842,1680,0.0175814143,1524,0.0205149849,1368,0.024438766,1041,0.0240587591,793,0.0302389721,589,0.0416392222,417
19960329,0.0120615168,1894,0.0120830174,1816,0.012124382,1675,0.0120962079,1519,0.0098427311,1364,0.0043139984,1040,0.0006493165,792,-0.004138078,588,0.0188280897,416
19960430,0.0213319429,1892,0.0229329958,1815,0.0239095842,1674,0.0238017048,1518,0.028127164,1364,0.0302830841,1041,0.0438607005,793,0.0550465797,589,0.0798683219,417
19960531,0.0258280347,1884,0.0264108264,1808,0.0269996753,1667,0.0281089249,1513,0.0293568382,1359,0.0339292625,1038,0.0365736061,790,0.0390002625,587,0.0331036977,415
19960628,-0.002660676,1883,-0.003126296,1807,-0.003129449,1667,-0.003877914,1513,-0.006441204,1359,-0.009079902,1038,-0.012273682,790,-0.015240858,587,-0.035560627,415
19960731,-0.050639103,2023,-0.049999981,1955,-0.051079637,1819,-0.051474173,1661,-0.054553782,1526,-0.058902314,1203,-0.056704558,892,-0.066115018,702,-0.071073178,526
19960830,0.0294583006,2019,0.0295324992,1951,0.0301680355,1815,0.0306032236,1657,0.028978969,1522,0.0279191846,1202,0.0287781097,891,0.0269787041,701,0.0154331889,525
19960930,0.0569318956,2015,0.0571743171,1947,0.0576140916,1811,0.0602954633,1654,0.0634219163,1518,0.0716741743,1198,0.0824899796,888,0.0812967795,699,0.0677470474,523
